順位,初日,二日目,三日目,四日目,五日目
100,2187266,4782600,7169231,8645224,10657371
200,1480073,3340124,4954788,5988034,6657792
300,1213725,2594931,4044080,5026842,5817149
400,1039834,2239260,3495189,4419253,5225441
500,882282,2009097,3149864,4021299,4808863
600,781144,1785501,2896757,3714852,4491677
700,691205,1654180,2689907,3446361,4219783
800,635722,1541580,2502244,3249927,3936877
1000,539337,1335101,2167530,2824463,3487426
1200,460242,1153156,1881420,2397361,3002181
1500,382448,924745,1537601,2026536,2523581
1800,320673,770700,1297114,1727015,2201997
2000,289942,691424,1175277,1596048,2054651
2200,261093,626001,1072565,1450651,1868384
3000,189243,447933,754634,1033844,1317562
4000,134045,311508,529077,741902,960249
5000,101778,232517,395280,563842,746188
7500,60134,134538,227470,325897,431616
10000,42512,97201,158909,225822,296982
15000,28539,66567,107917,151302,198075
20000,21839,51992,84379,116944,151318
