NDC,カテゴリー
100,哲学
101,哲学理論
102,哲学史
103,哲学 参考図書［レファレンスブック］
104,哲学 論文集・評論集・講演集
105,哲学 逐次刊行物
106,哲学 団体
107,哲学 研究法・指導法・哲学教育
108,哲学 叢書・全集・選集
110,哲学各論
111,哲学各論 形而上学・存在論
112,哲学各論 自然哲学・宇宙論
113,哲学各論 人生観・世界観
114,哲学各論 人間学
115,哲学各論 認識論
116,哲学各論 論理学・弁証法［弁証法的論理学］・方法論
117,哲学各論 価値哲学
118,哲学各論 文化哲学・技術哲学
120,東洋思想
121,東洋思想 日本思想
122,東洋思想 中国思想・中国哲学
123,東洋思想 経書
124,東洋思想 先秦思想・諸子百家
125,東洋思想 中世思想・近代思想
126,東洋思想 インド哲学・バラモン教
129,その他のアジア・アラブ哲学
130,西洋哲学
131,西洋哲学 古代哲学
132,西洋哲学 中世哲学
133,西洋哲学 近代哲学
134,西洋哲学 ドイツ・オーストリア哲学
135,西洋哲学 フランス・オランダ哲学
136,西洋哲学 スペイン・ポルトガル哲学
137,西洋哲学 イタリア哲学
138,西洋哲学 ロシア哲学
139,その他の哲学
140,心理学
141,心理学 普通心理学・心理各論
143,心理学 発達心理学
145,心理学 異常心理学
146,心理学 臨床心理学・精神分析学
147,心理学 超心理学・心霊研究
148,心理学 相法・易占
149,心理学 応用心理学
150,倫理学・道徳
151,倫理学・道徳 倫理各論
152,倫理学・道徳 家庭倫理・性倫理
153,倫理学・道徳 職業倫理
154,倫理学・道徳 社会倫理［社会道徳］
155,倫理学・道徳 国体論・詔勅
156,倫理学・道徳 武士道
157,倫理学・道徳 報徳教・石門心学
158,その他の特定主題
159,倫理学・道徳 人生訓・教訓
160,宗教
161,宗教学・宗教思想
162,宗教史・事情
163,宗教 原始宗教・宗教民族学
164,宗教 神話・神話学
165,宗教 比較宗教
166,宗教 道教
167,宗教 イスラム
168,宗教 ヒンズー教・ジャイナ教
169,その他の宗教・新興宗教
170,神道
171,神道思想・神道説
172,神道 神祇・神道史
173,神道 神典
174,神道 信仰録・説教集
175,神道 神社・神職
176,神道 祭祀
177,神道 布教・伝道
178,神道 各教派・教派神道
180,仏教
181,仏教教理・仏教哲学
182,仏教史
183,仏教 経典
184,仏教 法話・説教集
185,仏教 寺院・僧職
186,仏教 仏会
187,仏教 布教・伝道
188,仏教 各宗
190,キリスト教
191,キリスト教 教義・キリスト教神学
192,キリスト教史・迫害史
193,キリスト教 聖書
194,キリスト教 信仰録・説教集
195,キリスト教 教会・聖職
196,キリスト教 典礼・祭式・礼拝
197,キリスト教 布教・伝道
198,キリスト教 各教派・教会史
199,キリスト教 ユダヤ教
200,歴史
201,歴史学
202,歴史補助学
203,歴史 参考図書［レファレンスブック］
204,歴史 論文集・評論集・講演集
205,歴史 逐次刊行物
206,歴史 団体
207,歴史 研究法・指導法・歴史教育
208,歴史 叢書・全集・選集
209,歴史 世界史・文化史
210,日本史
211,日本史 北海道地方
212,日本史 東北地方
213,日本史 関東地方
214,日本史 北陸地方
215,日本史 中部地方
216,日本史 近畿地方
217,日本史 中国地方
218,日本史 四国地方
219,日本史 九州地方
220,アジア史・東洋史
221,アジア史・東洋史 朝鮮
222,アジア史・東洋史 中国
223,アジア史・東洋史 東南アジア
224,アジア史・東洋史 インドネシア
225,アジア史・東洋史 インド
226,アジア史・東洋史 西南アジア 中東[近東] →227
227,アジア史・東洋史 西南アジア 中東[近東]
228,アジア史・東洋史 アラブ諸国 →227
229,アジア史・東洋史 アジア・ロシア
230,ヨ－ロッパ史・西洋史
231,ヨ－ロッパ史・西洋史 古代ギリシア
232,ヨ－ロッパ史・西洋史 古代ローマ
233,ヨ－ロッパ史・西洋史 イギリス・英国
234,ヨ－ロッパ史・西洋史 ドイツ・中欧
235,ヨ－ロッパ史・西洋史 フランス
236,ヨ－ロッパ史・西洋史 スペイン［イスパニア］
237,ヨ－ロッパ史・西洋史 イタリア
238,ヨ－ロッパ史・西洋史 ロシア［ソビエト連邦・独立国家共同体］
239,ヨ－ロッパ史・西洋史 バルカン諸国
240,アフリカ史
241,アフリカ史 北アフリカ
242,アフリカ史 エジプト
243,アフリカ史 バーバリ諸国
244,アフリカ史 西アフリカ
245,アフリカ史 東アフリカ
248,アフリカ史 南アフリカ
249,アフリカ史 インド洋のアフリカ諸島
250,北アメリカ史
251,北アメリカ史 カナダ
253,北アメリカ史 アメリカ合衆国
255,北アメリカ史 ラテン・アメリカ［中南米］
256,北アメリカ史 メキシコ
257,北アメリカ史 中央アメリカ［中米諸国］
259,北アメリカ史 西インド諸島
260,南アメリカ史
261,南アメリカ史 北部諸国［カリブ沿海諸国］
262,南アメリカ史 ブラジル
263,南アメリカ史 パラグアイ
264,南アメリカ史 ウルグアイ
265,南アメリカ史 アルゼンチン
266,南アメリカ史 チリ
267,南アメリカ史 ボリビア
268,南アメリカ史 ペルー
270,オセアニア史・両極地方史
271,オセアニア史・両極地方史 オーストラリア
272,オセアニア史・両極地方史 ニュージーランド
273,オセアニア史・両極地方史 メラネシア
274,オセアニア史・両極地方史 ミクロネシア
275,オセアニア史・両極地方史 ポリネシア
276,オセアニア史・両極地方史 ハワイ
277,オセアニア史・両極地方史 両極地方
278,オセアニア史・両極地方史 北極・北極地方
279,オセアニア史・両極地方史 南極・南極地方
280,伝記
281,伝記 日本
282,伝記 アジア
283,伝記 ヨーロッパ
284,伝記 アフリカ
285,伝記 北アメリカ
286,伝記 南アメリカ
287,伝記 オセアニア・両極地方
288,伝記 系譜・家史・皇室
289,伝記 個人伝記
290,地理・地誌・紀行
291,地理・地誌・紀行 日本
292,地理・地誌・紀行 アジア
293,地理・地誌・紀行 ヨーロッパ
294,地理・地誌・紀行 アフリカ
295,地理・地誌・紀行 北アメリカ
296,地理・地誌・紀行 南アメリカ
297,地理・地誌・紀行 オセアニア．両極地方
299,地理・地誌・紀行 海洋
300,社会科学
301,社会科学 理論．方法論
302,社会科学 政治・経済・社会・文化事情
303,社会科学 参考図書［レファレンスブック］
304,社会科学 論文集・評論集・講演集
305,社会科学 逐次刊行物
306,社会科学 団体
307,社会科学 研究法・指導法・社会科学教育
308,社会科学 叢書・全集・選集
309,社会科学 社会思想
310,政治
311,政治学・政治思想
312,政治史・事情
313,政治 国家の形態・政治体制
314,政治 議会
315,政治 政党・政治結社
316,政治 国家と個人・宗教・民族
317,政治 行政
318,政治 地方自治・地方行政
319,政治 外交・国際問題
320,法律
321,法律 法学
322,法律 法制史
323,法律 憲法
324,法律 民法
325,法律 商法
326,法律 刑法・刑事法
327,法律 司法・訴訟手続法
328,法律 諸法
329,法律 国際法
330,経済
331,経済学・経済思想
332,経済史・事情・経済体制
333,経済政策・国際経済
334,経済 人口・土地・資源
335,経済 企業・経営
336,経済 経営管理
337,経済 貨幣・通貨
338,経済 金融・銀行・信託
339,経済 保険
340,財政
341,財政学・財政思想
342,財政史・事情
343,財政政策・財務行政
344,財政 予算・決算
345,財政 租税
347,財政 公債・国債
348,財政 専売・国有財産
349,財政 地方財政
350,統計
351,統計 日本
352,統計 アジア
353,統計 ヨーロッパ
354,統計 アフリカ
355,統計 北アメリカ
356,統計 南アメリカ
357,統計 オセアニア・両極地方
358,統計 人口統計・国勢調査
359,統計 各種の統計書
360,社会
361,社会学
362,社会史・社会体制
364,社会保障
365,社会 生活・消費者問題
366,社会 労働経済・労働問題
367,社会 家族問題・男性・女性問題・老人問題
368,社会病理
369,社会福祉
370,教育
371,教育学・教育思想
372,教育史・事情
373,教育政策・教育制度・教育行財政
374,教育 学校経営・管理・学校保健
375,教育課程・学習指導・教科別教育
376,教育 幼児・初等・中等教育
377,教育 大学・高等・専門教育・学術行政
378,教育 障害児教育
379,教育 社会教育
380,風俗習慣・民俗学・民族学
382,風俗習慣・民俗学・民族学 風俗史・民俗誌・民族誌
383,風俗習慣・民俗学・民族学 衣食住の習俗
384,風俗習慣・民俗学・民族学 社会・家庭生活の習俗
385,風俗習慣・民俗学・民族学 通過儀礼・冠婚葬祭
386,風俗習慣・民俗学・民族学 年中行事・祭礼
387,風俗習慣・民俗学・民族学 民間信仰・迷信［俗信］
388,風俗習慣・民俗学・民族学 伝説・民話［昔話］
389,風俗習慣・民俗学・民族学 民族学・文化人類学
390,国防・軍事
391,国防・軍事 戦争・戦略・戦術
392,国防・軍事 国防史・事情・軍事史・事情
393,国防・軍事 国防政策・行政・法令
394,国防・軍事 軍事医学・兵食
395,国防・軍事 軍事施設・軍需品
396,国防・軍事 陸軍
397,国防・軍事 海軍
398,国防・軍事 空軍
399,国防・軍事 古代兵法・軍学
400,自然科学
401,自然科学 科学理論 科学哲学
402,自然科学 科学史・事情
403,自然科学 参考図書[レファレンスブック]
404,自然科学 論文集 評論集 講演集
405,自然科学 逐次刊行物
406,自然科学 団体
407,自然科学 研究法 指導法 科学教育
408,自然科学 叢書 全集 選集
409,自然科学 科学技術政策・科学技術行政
410,数学
411,数学 代数学
412,数学 数論[整数学]
413,数学 解析学
414,数学 幾何学
415,数学 位相数学
417,数学 確率論 数理統計学
418,数学 計算法
419,数学 和算 中国算法
420,物理学
421,物理学 理論物理学
423,物理学 力学
424,物理学 振動学 音響学
425,物理学 光学
426,物理学 熱学
427,物理学 電磁気学
428,物理学 物性物理学
429,物理学 原子物理学
430,化学
431,化学 物理化学 理論化学
432,化学 実験化学[化学実験法]
433,化学 分析化学[化学分析]
434,化学 合成化学[化学合成]
435,化学 無機化学
436,化学 金属元素とその化合物
437,化学 有機化学
438,化学 環式化合物の化学
439,化学 天然物質の化学
440,天文学・宇宙科学
441,天文学・宇宙科学 理論天文学 数理天文学
442,天文学・宇宙科学 実地天文学 天体観測法
443,天文学・宇宙科学 恒星 恒星天文学
444,天文学・宇宙科学 太陽 太陽物理学
445,天文学・宇宙科学 惑星 衛星
446,天文学・宇宙科学 月
447,天文学・宇宙科学 彗星 流星
448,天文学・宇宙科学 地球 天文地理学
449,天文学・宇宙科学 時法 暦学
450,地球科学・地学
451,地球科学・地学 気象学
452,地球科学・地学 海洋学
453,地球科学・地学 地震学
454,地球科学・地学 地形学
455,地球科学・地学 地質学
456,地球科学・地学 地史学 層位学
457,地球科学・地学 古生物学 化石
458,地球科学・地学 岩石学
459,地球科学・地学 鉱物学
460,生物科学・一般生物学
461,生物科学・一般生物学 理論生物学 生命論
462,生物科学・一般生物学 生物地理 生物誌
463,生物科学・一般生物学 細胞学
464,生物科学・一般生物学 生化学
465,生物科学・一般生物学 微生物学
467,生物科学・一般生物学 遺伝学
468,生物科学・一般生物学 生態学
469,生物科学・一般生物学 人類学
470,植物学
471,植物学 一般植物学
472,植物学 植物地理 植物誌
473,植物学 葉状植物
474,植物学 藻類 菌類
475,植物学 コケ植物[蘚苔類]
476,植物学 シダ植物
477,植物学 種子植物
478,植物学 裸子植物
479,植物学 被子植物
480,動物学
481,動物学 一般動物学
482,動物学 動物地理 動物誌
483,動物学 無脊椎動物
484,動物学 軟体動物 貝類学
485,動物学 節足動物
486,動物学 昆虫類
487,動物学 脊椎動物
488,動物学 鳥類
489,動物学 哺乳類
490,医学
491,医学 基礎医学
492,医学 臨床医学 診断・治療
493,医学 内科学
494,医学 外科学
495,医学 婦人科学 産科学
496,医学 眼科学 耳鼻咽喉科学
497,医学 歯科学
498,医学 衛生学 公衆衛生 予防医学
499,医学 薬学
500,技術・工学
501,技術・工学 工業基礎学
502,技術・工学 技術史 工学史
503,技術・工学 参考図書[レファレンスブック]
504,技術・工学 論文集 評論集 講演集
505,技術・工学 逐次刊行物
506,技術・工学 団体
507,技術・工学 研究法 指導法 技術教育
508,技術・工学 叢書 全集 選書
509,技術・工学 工業 工業経済
510,建設工学・土木工学
511,建設工学・土木工学 土木力学 建設材料
512,建設工学・土木工学 測量
513,建設工学・土木工学 土木設計・施工法
514,建設工学・土木工学 道路工学
515,建設工学・土木工学 橋梁工学
516,建設工学・土木工学 鉄道工学
517,建設工学・土木工学 河海工学 河川工学
518,建設工学・土木工学 衛生工学 都市工学
519,建設工学・土木工学 公害 環境工学
520,建築学
521,建築学 日本の建築
522,建築学 東洋の建築 アジアの建築
523,建築学 西洋の建築 その他の様式の建築
524,建築学 建築構造
525,建築学 建築計画・施工
526,建築学 各種の建築
527,建築学 住宅建築
528,建築学 建築設備 設備工学
529,建築学 建築意匠・装飾
530,機械工学
531,機械工学 機械力学・材料・設計
532,機械工学 機械工作 工作機械
533,機械工学 熱機関 熱工学
534,機械工学 流体機械 流体工学
535,機械工学 精密機器 光学機器
536,機械工学 運輸工学 車輌 運搬機械
