順位,初日,二日目,三日目,四日目,五日目,六日目,最終日
100,900092,2128678,3862169,5165750,7578987,9454525,13461995
200,662212,1474332,2412973,3258043,3927072,4492171,5206483
300,529888,1205833,1997292,2781196,3476290,3949182,4906281
400,458536,1067400,1761795,2486223,3157888,3708339,4802764
500,403937,936512,1588326,2250034,2894356,3496694,4731279
600,362690,840300,1431138,2031214,2637015,3313010,4675041
700,326615,756382,1306132,1836312,2379086,3076628,4598966
800,296893,690941,1162687,1595360,2016618,2400278,2961400
900,269171,620918,1043249,1453342,1814394,2116527,2464690
1000,246443,569360,968272,1333326,1690393,1964973,2293340
1200,209243,480133,809897,1167719,1485119,1764862,2105113
1400,183482,413007,709356,1023104,1317674,1601167,2025279
1700,149763,343507,588919,864826,1161780,1445674,1957584
2000,126315,286848,500536,754282,1027638,1303489,1907023
2500,93739,211412,366668,539166,715318,905826,1240981
3000,74407,164767,278388,405429,540468,675035,922707
4000,51299,111756,185753,271716,364532,461302,622289
5000,38915,85544,139152,201616,271543,339784,451655
8000,24429,54858,87558,123353,162718,203085,262438
12000,17240,39756,63420,88040,114139,139976,175647
17000,12671,29982,47227,65947,85412,104674,132226
