日付,A社,B社,C社,D社
2010-01-04,2909.0,866.0,1060.0,966.0
2010-01-05,2981.0,883.0,1113.0,953.0
2010-01-06,3005.0,885.0,1110.0,960.0
2010-01-07,2975.0,885.0,1113.0,964.0
2010-01-08,2889.0,885.0,1160.0,950.0
2010-01-12,2902.0,892.0,1155.0,955.0
2010-01-13,2853.0,884.0,1108.0,936.0
2010-01-14,2892.0,895.0,1094.0,949.0
2010-01-15,2895.0,880.0,1090.0,946.0
2010-01-18,2888.0,878.0,1072.0,945.0
2010-01-19,2891.0,876.0,1080.0,945.0
2010-01-20,2888.0,879.0,1067.0,951.0
2010-01-21,2911.0,876.0,1072.0,970.0
2010-01-22,2770.0,877.0,1062.0,954.0
2010-01-25,2767.0,875.0,1052.0,967.0
2010-01-26,2763.0,871.0,1050.0,965.0
2010-01-27,2842.0,881.0,1034.0,957.0
2010-01-28,2895.0,886.0,1038.0,972.0
2010-01-29,2810.0,872.0,1020.0,965.0
2010-02-01,2821.0,856.0,1028.0,970.0
2010-02-02,2822.0,872.0,1034.0,953.0
2010-02-03,2666.0,874.0,1031.0,960.0
2010-02-04,2709.0,878.0,1041.0,979.0
2010-02-05,2688.0,865.0,1028.0,973.0
2010-02-08,2653.0,852.0,1026.0,967.0
2010-02-09,2613.0,831.0,1002.0,955.0
2010-02-10,2599.0,838.0,979.0,967.0
2010-02-12,2599.0,866.0,969.0,987.0
2010-02-15,2629.0,863.0,957.0,997.0
2010-02-16,2627.0,862.0,969.0,996.0
2010-02-17,2692.0,868.0,993.0,1003.0
2010-02-18,2748.0,855.0,1003.0,1003.0
2010-02-19,2691.0,857.0,984.0,998.0
2010-02-22,2752.0,839.0,979.0,1012.0
2010-02-23,2759.0,856.0,993.0,1002.0
2010-02-24,2715.0,878.0,988.0,992.0
2010-02-25,2744.0,870.0,993.0,999.0
2010-02-26,2759.0,882.0,993.0,1001.0
2010-03-01,2767.0,903.0,989.0,1004.0
2010-03-02,2742.0,919.0,1008.0,1006.0
2010-03-03,2693.0,907.0,1001.0,1007.0
2010-03-04,2683.0,895.0,1018.0,1001.0
2010-03-05,2760.0,901.0,1017.0,1015.0
2010-03-08,2790.0,900.0,1044.0,1034.0
2010-03-09,2850.0,886.0,1042.0,1031.0
2010-03-10,2885.0,871.0,1045.0,1042.0
2010-03-11,2892.0,882.0,1059.0,1051.0
2010-03-12,2932.0,873.0,1064.0,1054.0
2010-03-15,2937.0,872.0,1076.0,1045.0
2010-03-16,2944.0,884.0,1063.0,1045.0
2010-03-17,2960.0,909.0,1082.0,1053.0
2010-03-18,2963.0,921.0,1103.0,1051.0
2010-03-19,2984.0,925.0,1091.0,1055.0
2010-03-23,2963.0,939.0,1091.0,1056.0
2010-03-24,2964.0,940.0,1085.0,1065.0
2010-03-25,2983.0,943.0,1087.0,1060.0
2010-03-26,3020.0,952.0,1091.0,1069.0
2010-03-29,3020.0,939.0,1096.0,1061.0
2010-03-30,3040.0,933.0,1115.0,1087.0
2010-03-31,3115.0,928.0,1138.0,1123.0
2010-04-01,3100.0,968.0,1127.0,1116.0
2010-04-02,3185.0,981.0,1123.0,1113.0
2010-04-05,3195.0,993.0,1149.0,1129.0
2010-04-06,3190.0,998.0,1150.0,1128.0
2010-04-07,3180.0,1004.0,1190.0,1154.0
2010-04-08,3105.0,1000.0,1188.0,1145.0
2010-04-09,3080.0,998.0,1185.0,1137.0
2010-04-12,3205.0,1015.0,1242.0,1156.0
2010-04-13,3180.0,1018.0,1218.0,1149.0
2010-04-14,3195.0,1026.0,1251.0,1141.0
2010-04-15,3230.0,1037.0,1258.0,1145.0
2010-04-16,3155.0,1041.0,1242.0,1136.0
2010-04-19,3115.0,1036.0,1272.0,1116.0
2010-04-20,3145.0,1026.0,1269.0,1132.0
2010-04-21,3245.0,1039.0,1304.0,1134.0
2010-04-22,3235.0,1036.0,1320.0,1118.0
2010-04-23,3340.0,1109.0,1345.0,1153.0
2010-04-26,3485.0,1143.0,1365.0,1173.0
2010-04-27,3470.0,1118.0,1350.0,1164.0
2010-04-28,3380.0,1102.0,1323.0,1117.0
