TIME,Pic,PIM,GAP,IPR,CCD,RSD,Tankan,HH
6/1/1982,0.031,0.057,0.030,0.125,3.723,,3.761,
9/1/1982,0.029,0.069,0.024,0.124,3.716,,3.714,
12/1/1982,0.026,0.100,0.022,0.118,3.723,,3.664,
3/1/1983,0.023,-0.006,0.009,0.115,3.759,,3.526,
6/1/1983,0.019,-0.070,0.006,0.115,3.773,,3.714,
9/1/1983,0.015,-0.100,0.011,0.114,3.789,,3.738,
12/1/1983,0.016,-0.130,0.009,0.122,3.795,,3.829,
3/1/1984,0.019,-0.067,0.012,0.125,3.798,,3.829,
6/1/1984,0.022,-0.036,0.015,0.124,3.802,,3.850,
9/1/1984,0.023,-0.030,0.014,0.127,3.807,,3.850,
12/1/1984,0.023,-0.002,0.004,0.125,3.826,,3.807,
3/1/1985,0.025,0.045,0.019,0.123,3.826,,3.761,
6/1/1985,0.021,0.030,0.030,0.119,3.826,,3.761,
9/1/1985,0.020,-0.039,0.032,0.115,3.826,,3.689,
12/1/1985,0.014,-0.131,0.035,0.112,3.824,,3.584,
3/1/1986,0.014,-0.243,0.026,0.112,3.837,,3.434,
6/1/1986,0.011,-0.391,0.014,0.118,3.822,,3.178,
9/1/1986,0.005,-0.446,0.007,0.120,3.809,,2.944,
12/1/1986,0.002,-0.360,0.007,0.119,3.784,,2.996,
3/1/1987,-0.002,-0.275,-0.002,0.116,3.766,,3.135,
6/1/1987,0.001,-0.094,0.009,0.122,3.824,,3.258,
9/1/1987,0.005,0.105,0.018,0.125,3.844,,3.664,
12/1/1987,0.006,0.026,0.030,0.127,3.859,,3.714,
3/1/1988,0.005,-0.040,0.043,0.132,3.894,,3.584,
6/1/1988,0.004,-0.028,0.030,0.136,3.861,,3.638,
9/1/1988,0.003,-0.045,0.040,0.143,3.852,,3.784,
12/1/1988,0.006,-0.071,0.037,0.140,3.865,,3.689,
3/1/1989,0.010,0.005,0.051,0.151,3.768,,3.932,
6/1/1989,0.027,0.094,0.023,0.156,3.745,,3.871,
9/1/1989,0.029,0.075,0.027,0.157,3.786,,3.871,
12/1/1989,0.030,0.130,0.044,0.157,3.829,,3.850,
3/1/1990,0.032,0.135,0.025,0.162,3.800,,3.892,
6/1/1990,0.021,0.080,0.044,0.158,3.800,,4.043,
9/1/1990,0.023,0.042,0.048,0.155,3.745,,4.078,
12/1/1990,0.031,0.096,0.033,0.165,3.773,,4.205,
3/1/1991,0.032,-0.009,0.028,0.154,3.811,,4.127,
6/1/1991,0.030,-0.083,0.028,0.152,3.800,,4.025,
9/1/1991,0.030,-0.086,0.015,0.156,3.811,,3.932,
12/1/1991,0.023,-0.146,0.014,0.155,3.759,,3.871,
3/1/1992,0.022,-0.112,0.005,0.151,3.770,,3.738,
6/1/1992,0.026,-0.053,0.003,0.151,3.750,,3.761,
9/1/1992,0.022,-0.034,-0.002,0.149,3.721,,3.689,
12/1/1992,0.020,-0.042,-0.017,0.148,3.709,,3.584,
3/1/1993,0.017,-0.038,-0.008,0.146,3.704,,3.555,
6/1/1993,0.013,-0.098,-0.020,0.146,3.764,,3.584,
9/1/1993,0.012,-0.147,-0.032,0.147,3.726,,3.434,
12/1/1993,0.010,-0.132,-0.031,0.146,3.684,,3.219,
3/1/1994,0.009,-0.120,-0.027,0.151,3.752,,3.219,
6/1/1994,0.009,-0.085,-0.041,0.154,3.800,,3.434,
9/1/1994,0.007,-0.021,-0.024,0.154,3.850,,3.401,
12/1/1994,0.004,0.016,-0.036,0.157,3.890,,3.401,
3/1/1995,0.004,0.032,-0.032,0.162,3.861,,3.434,
6/1/1995,-0.001,-0.045,-0.019,0.163,3.809,,3.258,
9/1/1995,-0.001,-0.010,-0.019,0.172,3.789,,3.178,
12/1/1995,0.002,0.017,-0.022,0.178,3.850,,3.296,
3/1/1996,-0.001,0.039,-0.019,0.184,3.850,,3.401,
6/1/1996,0.001,0.149,-0.014,0.189,3.839,,3.526,
9/1/1996,0.003,0.104,-0.020,0.190,3.780,,3.555,
12/1/1996,0.003,0.101,-0.007,0.191,3.706,,3.555,
3/1/1997,0.005,0.135,-0.007,0.188,3.367,,3.526,
6/1/1997,0.020,0.091,-0.020,0.192,3.679,,3.638,
9/1/1997,0.022,0.046,-0.018,0.190,3.721,,3.434,
12/1/1997,0.022,0.029,-0.019,0.187,3.653,,3.258,
3/1/1998,0.019,-0.060,-0.037,0.186,3.664,,3.091,
6/1/1998,0.001,-0.032,-0.045,0.178,3.624,,3.091,
9/1/1998,-0.002,0.012,-0.044,0.177,3.586,,2.996,
12/1/1998,-0.003,-0.113,-0.040,0.171,3.694,,2.890,
3/1/1999,-0.001,-0.129,-0.050,0.176,3.752,,2.890,
6/1/1999,0.000,-0.098,-0.048,0.179,3.740,,3.135,
9/1/1999,0.000,-0.110,-0.053,0.184,3.752,,3.258,
12/1/1999,-0.001,-0.027,-0.049,0.187,3.782,,3.178,
3/1/2000,-0.002,0.065,-0.036,0.189,3.795,,3.219,
6/1/2000,-0.003,0.017,-0.037,0.198,3.800,,3.296,
9/1/2000,-0.002,0.036,-0.043,0.204,3.802,,3.367,
12/1/2000,-0.007,0.071,-0.041,0.210,3.820,,3.258,
3/1/2001,-0.009,0.041,-0.037,0.208,3.689,,2.890,
6/1/2001,-0.009,0.065,-0.039,0.201,3.718,,2.773,
9/1/2001,-0.009,0.023,-0.051,0.197,3.653,,2.565,
12/1/2001,-0.009,-0.027,-0.054,0.190,3.653,,2.303,
3/1/2002,-0.008,-0.018,-0.055,0.191,3.701,,2.398,
6/1/2002,-0.009,-0.027,-0.043,0.195,3.718,,2.833,
9/1/2002,-0.008,-0.037,-0.039,0.199,3.714,,2.773,
12/1/2002,-0.008,0.026,-0.036,0.203,3.701,,2.773,
3/1/2003,-0.007,0.005,-0.042,0.205,3.653,,2.890,
6/1/2003,-0.004,-0.013,-0.033,0.200,3.679,,2.890,
9/1/2003,-0.001,0.022,-0.029,0.204,3.728,,3.135,
12/1/2003,0.000,-0.048,-0.020,0.206,3.750,,3.135,
3/1/2004,-0.001,-0.028,-0.012,0.211,3.786,,3.219,
6/1/2004,-0.002,0.039,-0.013,0.215,3.807,,3.434,
9/1/2004,-0.001,0.064,-0.015,0.219,3.846,,3.466,
12/1/2004,-0.002,0.095,-0.018,0.226,3.811,,3.497,
3/1/2005,-0.001,0.088,-0.020,0.220,3.800,,3.497,0.008
6/1/2005,0.000,0.103,-0.012,0.221,3.833,,3.497,0.008
9/1/2005,-0.002,0.131,-0.012,0.227,3.816,,3.584,0.010
12/1/2005,-0.001,0.200,-0.013,0.225,3.852,,3.611,0.012
3/1/2006,0.000,0.195,-0.011,0.228,3.852,,3.638,0.011
6/1/2006,0.000,0.148,-0.009,0.231,3.816,,3.761,0.013
9/1/2006,0.002,0.148,-0.014,0.233,3.813,,3.807,0.016
12/1/2006,0.001,0.075,-0.005,0.231,3.846,,3.738,0.012
3/1/2007,-0.001,0.064,0.002,0.232,3.816,,3.761,0.010
6/1/2007,-0.001,0.095,-0.001,0.235,3.752,0.000,3.807,0.012
9/1/2007,-0.001,0.050,-0.006,0.234,3.750,0.000,3.807,0.016
12/1/2007,0.004,0.093,-0.001,0.236,3.544,0.000,3.871,0.025
