A,B,C,D,E
"2011/01/04","10398.10","10352.19","10409.17","10321.28"
"2011/01/05","10380.77","10387.95","10413.45","10358.01"
"2011/01/06","10529.76","10477.52","10530.11","10477.52"
"2011/01/07","10541.04","10506.72","10550.71","10503.02"
"2011/01/11","10510.68","10484.62","10538.39","10476.29"
"2011/01/12","10512.80","10562.28","10576.51","10502.96"
"2011/01/13","10589.76","10593.46","10620.57","10565.28"
"2011/01/14","10499.04","10502.77","10579.97","10497.26"
"2011/01/17","10502.86","10562.09","10562.39","10482.69"
"2011/01/18","10518.98","10461.04","10548.21","10456.71"
"2011/01/19","10557.10","10567.88","10580.68","10534.02"
"2011/01/20","10437.31","10492.32","10505.63","10421.83"
"2011/01/21","10274.52","10459.04","10461.07","10257.99"
"2011/01/24","10345.11","10318.60","10347.94","10278.81"
"2011/01/25","10464.42","10374.64","10480.24","10355.80"
"2011/01/26","10401.90","10410.29","10440.35","10392.46"
"2011/01/27","10478.66","10466.34","10496.40","10421.75"
"2011/01/28","10360.34","10460.29","10480.08","10332.65"
"2011/01/31","10237.92","10219.98","10265.96","10182.57"
"2011/02/01","10274.50","10281.55","10299.38","10245.75"
"2011/02/02","10457.36","10368.48","10479.75","10366.96"
"2011/02/03","10431.36","10424.68","10450.46","10409.84"
"2011/02/04","10543.52","10526.39","10580.36","10524.13"
"2011/02/07","10592.04","10641.30","10644.21","10572.72"
"2011/02/08","10635.98","10645.03","10648.80","10623.70"
"2011/02/09","10617.83","10686.72","10701.92","10599.50"
"2011/02/10","10605.65","10574.80","10631.94","10570.62"
"2011/02/14","10725.54","10689.65","10725.54","10674.44"
"2011/02/15","10746.67","10738.81","10760.99","10712.49"
"2011/02/16","10808.29","10758.86","10842.31","10752.61"
"2011/02/17","10836.64","10882.91","10891.60","10820.48"
"2011/02/18","10842.80","10829.15","10862.43","10810.12"
"2011/02/21","10857.53","10820.78","10859.39","10789.41"
"2011/02/22","10664.70","10745.52","10761.22","10639.78"
"2011/02/23","10579.10","10588.82","10666.72","10569.93"
"2011/02/24","10452.71","10533.20","10542.70","10428.38"
"2011/02/25","10526.76","10475.78","10532.21","10454.46"
"2011/02/28","10624.09","10504.54","10628.76","10448.83"
"2011/03/01","10754.03","10676.24","10754.03","10672.91"
"2011/03/02","10492.38","10609.28","10629.50","10492.38"
"2011/03/03","10586.02","10529.77","10593.34","10522.40"
"2011/03/04","10693.66","10730.91","10768.43","10664.37"
"2011/03/07","10505.02","10626.97","10626.97","10472.51"
"2011/03/08","10525.19","10513.08","10565.10","10509.23"
"2011/03/09","10589.50","10607.23","10662.07","10563.82"
"2011/03/10","10434.38","10544.13","10549.17","10410.10"
"2011/03/11","10254.43","10298.64","10378.55","10254.43"
"2011/03/14","9620.49","10044.17","10049.92","9578.65"
"2011/03/15","8605.15","9441.66","9441.66","8227.63"
"2011/03/16","9093.72","8767.20","9168.51","8763.95"
"2011/03/17","8962.67","8913.35","9093.61","8639.56"
"2011/03/18","9206.75","9083.95","9275.60","9073.25"
"2011/03/22","9608.32","9403.05","9625.03","9395.85"
"2011/03/23","9449.47","9590.38","9592.40","9387.95"
"2011/03/24","9435.01","9479.77","9509.85","9418.71"
"2011/03/25","9536.13","9565.49","9569.71","9469.37"
"2011/03/28","9478.53","9541.76","9541.76","9405.20"
"2011/03/29","9459.08","9348.60","9502.23","9317.38"
"2011/03/30","9708.79","9489.51","9708.79","9479.03"
"2011/03/31","9755.10","9765.28","9765.81","9658.64"
"2011/04/01","9708.39","9757.28","9822.06","9698.60"
"2011/04/04","9718.89","9773.91","9808.60","9718.89"
"2011/04/05","9615.55","9732.26","9732.26","9566.05"
"2011/04/06","9584.37","9668.11","9671.46","9562.16"
"2011/04/07","9590.93","9652.65","9687.18","9578.47"
"2011/04/08","9768.08","9586.17","9804.28","9536.68"
"2011/04/11","9719.70","9731.32","9775.60","9700.75"
"2011/04/12","9555.26","9603.50","9603.64","9513.27"
"2011/04/13","9641.18","9516.50","9655.83","9516.50"
"2011/04/14","9653.92","9579.79","9676.97","9553.75"
"2011/04/15","9591.52","9646.22","9651.96","9577.96"
"2011/04/18","9556.65","9593.41","9608.92","9539.03"
"2011/04/19","9441.03","9448.65","9478.87","9405.19"
"2011/04/20","9606.82","9536.79","9631.00","9519.36"
"2011/04/21","9685.77","9686.27","9725.12","9643.92"
"2011/04/22","9682.21","9623.00","9732.63","9611.38"
"2011/04/25","9671.96","9705.90","9748.40","9657.24"
"2011/04/26","9558.69","9627.43","9627.43","9536.51"
"2011/04/27","9691.84","9631.53","9728.03","9630.37"
"2011/04/28","9849.74","9749.36","9849.74","9712.58"
"2011/05/02","10004.20","9964.39","10017.47","9936.27"
"2011/05/06","9859.20","9851.15","9876.10","9782.66"
"2011/05/09","9794.38","9881.67","9897.88","9776.74"
"2011/05/10","9818.76","9804.27","9853.13","9755.93"
"2011/05/11","9864.26","9912.48","9929.04","9842.67"
"2011/05/12","9716.65","9770.71","9836.71","9716.65"
"2011/05/13","9648.77","9751.45","9751.45","9552.93"
"2011/05/16","9558.30","9571.13","9598.33","9552.86"
"2011/05/17","9567.02","9513.50","9593.13","9502.39"
"2011/05/18","9662.08","9602.88","9693.60","9590.40"
"2011/05/19","9620.82","9711.32","9731.12","9600.81"
"2011/05/20","9607.08","9612.87","9670.92","9600.48"
"2011/05/23","9460.63","9547.86","9547.86","9437.87"
"2011/05/24","9477.17","9406.04","9490.35","9406.04"
"2011/05/25","9422.88","9492.43","9503.77","9415.33"
"2011/05/26","9562.05","9499.45","9567.46","9489.12"
"2011/05/27","9521.94","9514.16","9588.70","9493.44"
"2011/05/30","9504.97","9489.78","9540.02","9448.00"
"2011/05/31","9693.73","9500.60","9697.35","9497.40"
"2011/06/01","9719.61","9708.05","9720.73","9659.31"
"2011/06/02","9555.04","9560.63","9575.01","9517.28"
"2011/06/03","9492.21","9550.59","9603.03","9490.68"
