"seq","date","USD","EUR","AUD"
1,01/01/2007,119.116,157.203,93.97
2,01/02/2007,119.116,157.203,93.97
3,01/03/2007,118.815,157.46,94.3066
4,01/04/2007,119.081,157.747,94.733
5,01/05/2007,119.337,156.76,94.0704
6,01/06/2007,118.573,154.904,92.7793
7,01/07/2007,118.678,154.308,92.4511
8,01/08/2007,118.68,154.309,92.452
9,01/09/2007,118.519,154.173,92.4437
10,01/10/2007,119.059,155.078,93.0725
11,01/11/2007,119.385,154.901,93.0433
12,01/12/2007,120.03,155.369,93.7707
13,01/13/2007,120.48,155.472,94.0714
14,01/14/2007,120.376,155.547,94.367
15,01/15/2007,120.377,155.552,94.37
16,01/16/2007,120.387,155.715,94.4731
17,01/17/2007,120.489,155.953,94.4195
18,01/18/2007,120.677,155.992,94.6804
19,01/19/2007,121.037,156.715,95.3629
20,01/20/2007,121.287,157.288,95.6682
21,01/21/2007,121.244,157.142,95.8464
22,01/22/2007,121.285,157.139,95.85
23,01/23/2007,121.483,157.429,95.9127
24,01/24/2007,121.564,157.797,96.073
25,01/25/2007,121.378,157.844,95.1904
26,01/26/2007,120.79,156.652,94.1256
27,01/27/2007,121.448,156.911,93.9677
28,01/28/2007,121.62,157.031,94.0984
29,01/29/2007,121.619,157.033,94.0991
30,01/30/2007,121.817,157.39,94.1701
31,01/31/2007,121.773,157.817,94.0816
32,02/01/2007,121.434,157.443,93.7948
33,02/02/2007,120.636,157.13,93.545
34,02/03/2007,120.896,157.261,93.5093
35,02/04/2007,121.183,157.055,93.9534
36,02/05/2007,121.19,157.059,93.96
37,02/06/2007,120.746,156.267,93.5311
38,02/07/2007,120.288,155.648,93.3363
39,02/08/2007,120.429,156.444,93.6612
40,02/09/2007,121.004,157.463,94.3934
41,02/10/2007,121.396,158.066,94.5874
42,02/11/2007,121.806,158.373,94.7767
43,02/12/2007,121.826,158.401,94.6756
44,02/13/2007,121.899,158.36,94.3726
45,02/14/2007,121.48,157.796,94.0503
46,02/15/2007,121.099,158.29,94.6064
47,02/16/2007,120.092,157.755,94.1718
48,02/17/2007,119.353,156.723,93.6722
49,02/18/2007,119.469,156.93,94.0412
50,02/19/2007,119.478,156.941,94.0513
51,02/20/2007,119.526,157.146,94.0759
52,02/21/2007,119.909,157.735,94.2854
53,02/22/2007,120.512,158.344,95.0277
54,02/23/2007,121.172,158.981,95.7224
55,02/24/2007,121.384,159.411,95.8509
56,02/25/2007,121.124,159.45,95.9284
57,02/26/2007,121.13,159.457,95.93
58,02/27/2007,120.815,159.163,95.7395
59,02/28/2007,119.781,158.178,94.9974
60,03/01/2007,118.367,156.447,93.2599
61,03/02/2007,118.121,156.102,92.9247
62,03/03/2007,117.384,154.636,92.027
63,03/04/2007,116.815,154.782,91.9118
64,03/05/2007,116.793,154.037,91.4913
65,03/06/2007,115.855,152.191,89.9269
66,03/07/2007,116.27,152.366,89.895
67,03/08/2007,116.476,152.958,90.4604
68,03/09/2007,116.667,153.51,90.6627
69,03/10/2007,117.553,154.411,91.5895
70,03/11/2007,118.384,155.227,92.3804
71,03/12/2007,118.395,155.261,92.4052
72,03/13/2007,118.043,155.17,92.361
73,03/14/2007,117.217,154.592,92.0898
74,03/15/2007,116.279,153.5,91.0518
75,03/16/2007,117.307,155.123,92.3297
76,03/17/2007,116.965,155.536,92.7389
77,03/18/2007,116.759,155.465,92.9891
78,03/19/2007,116.735,155.432,92.9544
79,03/20/2007,117.19,155.909,93.3749
80,03/21/2007,117.596,156.381,94.1125
81,03/22/2007,117.519,156.468,94.3163
82,03/23/2007,117.664,157.308,94.9691
83,03/24/2007,117.958,157.101,95.0951
84,03/25/2007,118.169,156.957,95.1603
85,03/26/2007,118.167,156.954,95.1589
86,03/27/2007,118.056,156.86,95.2061
87,03/28/2007,118.118,157.542,95.5577
88,03/29/2007,117.306,156.558,94.6154
89,03/30/2007,117.379,156.423,94.7691
90,03/31/2007,117.926,157.246,95.276
91,04/01/2007,117.875,157.404,95.3428
92,04/02/2007,117.867,157.398,95.3372
93,04/03/2007,117.757,157.322,95.8372
94,04/04/2007,118.336,158.122,96.3945
95,04/05/2007,118.834,158.535,96.6334
